AE_CODE,DT_DEBUT,ADRS_ETAB,NS_ETAB_ID,DGSP_CODE,DT_FIN,NOM_ETAB,TELEPHONE_ETAB,PROV_ETAB,DGSP_OBJ_ID,URL_ETAB,FOR_OBJ_ID,NUMERO_FASE_ETAB,AE_NOM,_version_,TE_INTITULE,RESEAU,CP_LOC_COM_ETAB,id,CO_ANNEE_ETUDES,NS_SA_ID
1 D2 3 P,2014-09-01,Avenue Eugène Plasky 184 ,425,1 D2 P,9999-12-31,COLLEGE ROI BAUDOUIN ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL,02-734 38 85,BRUXELLES-CAPITALE,50,,42,425,Type 1 deuxième degré troisième professionnel qualification,"1,73316666781545E+018",CUISINE ET SALLE,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,181349,1 D2 3 P,181349
1 D2 3 G,2014-09-01,Rue Portaels 81 ,428,1 D2 G,9999-12-31,INSTITUT TECHNIQUE CARDINAL MERCIER - NOTRE-DAME DU SACRE-COEUR,02-216 21 97,BRUXELLES-CAPITALE,49,,39,428,Type 1 deuxième degré troisième général transition,"1,7331666678165E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,180868,1 D2 3 G,180868
1 D2 3 P,2014-09-01,Rue Général Eenens 66 ,429,1 D2 P,9999-12-31,INSTITUT COMMUNAL TECHNIQUE FRANS FISCHER,02-240 17 80,BRUXELLES-CAPITALE,50,,42,429,Type 1 deuxième degré troisième professionnel qualification,"1,73316666782279E+018",HORTICULTURE ET MAINTENANCE DE MATERIEL,Subventionné communal,1030 - SCHAERBEEK - SCHAERBEEK,181230,1 D2 3 P,181230
1 D2 3 G,2014-09-01,Rue Caporal Claes 38 ,432,1 D2 G,9999-12-31,INSTITUT SAINT-DOMINIQUE,02-240 16 10,BRUXELLES-CAPITALE,49,,39,432,Type 1 deuxième degré troisième général transition,"1,73316666782908E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,181287,1 D2 3 G,181287
1 D2 3 G,2014-09-01,Avenue Houzeau 87 ,460,1 D2 G,9999-12-31,ATHENEE ROYAL D'UCCLE I,02-374 05 84,BRUXELLES-CAPITALE,49,,39,460,Type 1 deuxième degré troisième général transition,"1,73316666783223E+018",LANGUE MODERNE II ANGLAIS,WBE,1180 - UCCLE - UCCLE,799,1 D2 3 G,799
1 D2 3 G,2014-09-01,Drève des Gendarmes 45 ,462,1 D2 G,9999-12-31,ECOLE DECROLY,02-374 17 03,BRUXELLES-CAPITALE,49,,39,462,Type 1 deuxième degré troisième général transition,"1,73316666783328E+018",LANGUE MODERNE I NEERLANDAIS,Libre non confessionnel,1180 - UCCLE - UCCLE,181418,1 D2 3 G,181418
1 D2 3 G,2014-09-01,Avenue Coghen 213 ,463,1 D2 G,9999-12-31,COLLEGE SAINT-PIERRE,02-344 50 58,BRUXELLES-CAPITALE,49,,39,463,Type 1 deuxième degré troisième général transition,"1,73316666783538E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1180 - UCCLE - UCCLE,181436,1 D2 3 G,181436
1 D2 3 G,2014-09-01,Rue Edith Cavell 143 ,464,1 D2 G,9999-12-31,CENTRE D'ENSEIGNEMENT SECONDAIRE LIBRE NOTRE-DAME DES CHAMPS,02-374 58 40,BRUXELLES-CAPITALE,49,,39,464,Type 1 deuxième degré troisième général transition,"1,73316666783957E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1180 - UCCLE - UCCLE,181456,1 D2 3 G,181456
1 D2 3 G,2014-09-01,Avenue des Tilleuls 24 ,465,1 D2 G,9999-12-31,ATHENEE ROYAL D'UCCLE II,02-374 37 91,BRUXELLES-CAPITALE,49,,39,465,Type 1 deuxième degré troisième général transition,"1,73316666784167E+018",LANGUE MODERNE II ANGLAIS,WBE,1180 - UCCLE - UCCLE,2591,1 D2 3 G,2591
1 D2 3 G,2014-09-01,Place Jean Vander Elst 25 ,466,1 D2 G,9999-12-31,INSTITUT SAINT-VINCENT DE PAUL,02-345 46 26,BRUXELLES-CAPITALE,49,,39,466,Type 1 deuxième degré troisième général transition,"1,73316666784376E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1180 - UCCLE - UCCLE,181379,1 D2 3 G,181379
1 D2 3 G,2014-09-01,Rue du Melkriek 3 ,480,1 D2 G,9999-12-31,ATHENEE GANENOU,02-376 11 76,BRUXELLES-CAPITALE,49,,39,480,Type 1 deuxième degré troisième général transition,"1,73316666785006E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1180 - UCCLE - UCCLE,181487,1 D2 3 G,181487
1 D2 3 G,2014-09-01,Avenue Charle-Albert 9 ,492,1 D2 G,9999-12-31,COLLEGE SAINT-HUBERT,02-660 19 40,BRUXELLES-CAPITALE,49,,39,492,Type 1 deuxième degré troisième général transition,"1,7331666678511E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,181500,1 D2 3 G,181500
1 D2 3 G,2014-09-01,Avenue Alfred Solvay 4 ,494,1 D2 G,9999-12-31,INSTITUT DE L'ASSOMPTION,02-663 82 90,BRUXELLES-CAPITALE,49,,39,494,Type 1 deuxième degré troisième général transition,"1,7331666678553E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,181518,1 D2 3 G,181518
1 D2 3 G,2014-09-01,Rue de l'Athénée Royal 75-77 ,513,1 D2 G,9999-12-31,ATHENEE ROYAL WOLUWE-SAINT-LAMBERT,02-776 82 60,BRUXELLES-CAPITALE,49,,39,513,Type 1 deuxième degré troisième général transition,"1,73316666785635E+018",LANGUE MODERNE II ANGLAIS,WBE,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,1158,1 D2 3 G,1158
1 D2 3 G,2014-09-01,RUE D HOUDENG 134 ,514,1 D2 G,9999-12-31,CENTRE SCOLAIRE DU SACRE-COEUR DE LINDTHOUT,02-736 00 94,HAINAUT,49,,39,514,Type 1 deuxième degré troisième général transition,"1,73316666785844E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,7070 - LE ROEULX - LE ROEULX,181547,1 D2 3 G,181547
1 D2 3 G,2014-09-01,Chaussée de Stockel 270 ,515,1 D2 G,9999-12-31,COLLEGE DON BOSCO,02-771 98 48,BRUXELLES-CAPITALE,49,,39,515,Type 1 deuxième degré troisième général transition,"1,73316666786369E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,181589,1 D2 3 G,181589
1 D2 3 G,2014-09-01,Rue Vergote 40 ,517,1 D2 G,9999-12-31,INSTITUT DES DAMES DE MARIE,02-743 27 90,BRUXELLES-CAPITALE,49,,39,517,Type 1 deuxième degré troisième général transition,"1,73316666786893E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,181531,1 D2 3 G,181531
1 D2 3 G,2014-09-01,Rue des Déportés 42 ,519,1 D2 G,9999-12-31,INSTITUT DE LA PROVIDENCE,02-770 09 46,BRUXELLES-CAPITALE,49,,39,519,Type 1 deuxième degré troisième général transition,"1,73316666787208E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,181572,1 D2 3 G,181572
1 D2 3 G,2014-09-01,Avenue Orban 73 ,539,1 D2 G,9999-12-31,ATHENEE ROYAL CROMMELYNCK,02-770 06 20,BRUXELLES-CAPITALE,49,,39,539,Type 1 deuxième degré troisième général transition,"1,73316666787732E+018",LANGUE MODERNE II ANGLAIS,WBE,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,2828,1 D2 3 G,2828
1 D2 3 G,2014-09-01,Boulevard de la Woluwe 22 ,540,1 D2 G,9999-12-31,COLLEGE JEAN XXIII,02-771 01 78,BRUXELLES-CAPITALE,49,,39,540,Type 1 deuxième degré troisième général transition,"1,73316666787942E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,181617,1 D2 3 G,181617
1 D2 3 G,2014-09-01,Avenue de l'Aviation 72 ,541,1 D2 G,9999-12-31,LYCEE MATER DEI,02-770 03 99,BRUXELLES-CAPITALE,49,,39,541,Type 1 deuxième degré troisième général transition,"1,73316666788256E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,181644,1 D2 3 G,181644
1 D2 3 P,2014-09-01,Avenue du Val d'Or 90 D ,542,1 D2 P,9999-12-31,INSTITUT DON BOSCO,02-771 01 02,BRUXELLES-CAPITALE,50,,42,542,Type 1 deuxième degré troisième professionnel qualification,"1,73316666788676E+018",ELECTRICITE,Libre confessionnel,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,180905,1 D2 3 P,180905
1 D2 3 TQ,2014-09-01,Avenue Salomé 2 ,543,1 D2 TQ,9999-12-31,Centre scolaire Eddy Merckx,02-773 18 32,BRUXELLES-CAPITALE,51,,40,543,Type 1 deuxième degré troisième technique qualification,"1,733166667892E+018",TECHNIQUES SOCIALES ET D'ANIMATION,Subventionné communal,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,181667,1 D2 3 TQ,181667
1 D2 3 G,2014-09-01,Place Riva Bella  ,565,1 D2 G,9999-12-31,ATHENEE ROYAL RIVA-BELLA,02-389 09 32,BRABANT WALLON,49,,39,565,Type 1 deuxième degré troisième général transition,"1,73316666789514E+018",LANGUE MODERNE II ANGLAIS,WBE,1420 - BRAINE-L'ALLEUD - BRAINE-L'ALLEUD,2844,1 D2 3 G,2844
1 D2 3 G,2014-09-01,Chée de Mont-Saint-Jean 83 ,567,1 D2 G,9999-12-31,COLLEGE ARCHIEPISCOPAL CARDINAL MERCIER,02-386 15 11,BRABANT WALLON,49,,39,567,Type 1 deuxième degré troisième général transition,"1,73316666790353E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1420 - BRAINE-L'ALLEUD - BRAINE-L'ALLEUD,181710,1 D2 3 G,181710
1 D2 3 G,2014-09-01,Rue de la Vallée Bailly 102 ,568,1 D2 G,9999-12-31,INSTITUT DE LA VALLEE BAILLY (Enseignement général),02-389 49 50,BRABANT WALLON,49,,39,568,Type 1 deuxième degré troisième général transition,"1,73316666790668E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1420 - BRAINE-L'ALLEUD - BRAINE-L'ALLEUD,181734,1 D2 3 G,181734
1 D2 3 TQ,2014-09-01,Chemin des Roussettes 10 ,569,1 D2 TQ,9999-12-31,INSTITUT D'ENSEIGNEMENT CARDINAL MERCIER,02-386 15 47,BRABANT WALLON,51,,40,569,Type 1 deuxième degré troisième technique qualification,"1,73316666790878E+018",RESTAURATION,Libre confessionnel,1410 - WATERLOO - WATERLOO,182249,1 D2 3 TQ,182249
1 D2 3 TQ,2014-09-01,Rue de la Vallée Bailly 102 ,571,1 D2 TQ,9999-12-31,INSTITUT DE LA VALLEE BAILLY (Enseignement technique),02-389 49 50,BRABANT WALLON,51,,40,571,Type 1 deuxième degré troisième technique qualification,"1,73316666791297E+018",TECHNIQUES SOCIALES ET D'ANIMATION,Libre confessionnel,1420 - BRAINE-L'ALLEUD - BRAINE-L'ALLEUD,181687,1 D2 3 TQ,181687
1 D2 3 G,2014-09-01,Av Prisonniers de Guerre 36 ,589,1 D2 G,9999-12-31,COLLEGE SAINT-ETIENNE CAMPUS,010-61 27 56,BRABANT WALLON,49,,39,589,Type 1 deuxième degré troisième général transition,"1,73316666791507E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1490 - COURT-SAINT-ETIENNE - COURT-SAINT-ETIENNE,181794,1 D2 3 G,181794
1 D2 3 P,2014-09-01,Parc de Wisterzée  ,591,1 D2 P,9999-12-31,INSTITUT TECHNIQUE PROVINCIAL,010-61 22 61,BRABANT WALLON,50,,42,591,Type 1 deuxième degré troisième professionnel qualification,"1,73316666792031E+018",MECANIQUE GARAGE,Subventionné provincial,1490 - COURT-SAINT-ETIENNE - COURT-SAINT-ETIENNE,181753,1 D2 3 P,181753
1 D2 3 G,2014-09-01,Chaussée de Hannut 61 ,616,1 D2 G,9999-12-31,ATHENEE ROYAL JODOIGNE,010-81 35 26,BRABANT WALLON,49,,39,616,Type 1 deuxième degré troisième général transition,"1,7331666679266E+018",LANGUE MODERNE II ANGLAIS,WBE,1370 - JODOIGNE - JODOIGNE,2898,1 D2 3 G,2898
1 D2 3 G,2014-09-01,Avenue Fernand Charlot 35 ,620,1 D2 G,9999-12-31,INSTITUT SAINT-ALBERT,010-81 12 50,BRABANT WALLON,49,,39,620,Type 1 deuxième degré troisième général transition,"1,73316666793499E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1370 - JODOIGNE - JODOIGNE,181856,1 D2 3 G,181856
1 D2 3 G,2014-09-01,Chaussée de Tirlemont 85 ,622,1 D2 G,9999-12-31,Centre provincial d'enseignement secondaire (CEPES),010-81 88 00,BRABANT WALLON,49,,39,622,Type 1 deuxième degré troisième général transition,"1,73316666793709E+018",LANGUE MODERNE I ANGLAIS,Subventionné provincial,1370 - JODOIGNE - JODOIGNE,181876,1 D2 3 G,181876
1 D2 3 G,2014-09-01,Avenue du Centenaire 34 ,641,1 D2 G,9999-12-31,ATHENEE ROYAL NIVELLES,067-21 24 58,BRABANT WALLON,49,,39,641,Type 1 deuxième degré troisième général transition,"1,73316666794548E+018",LANGUE MODERNE II ANGLAIS,WBE,1400 - NIVELLES - NIVELLES,2570,1 D2 3 G,2570
1 D2 3 G,2014-09-01,Faubourg de Mons 1 ,642,1 D2 G,9999-12-31,COLLEGE SAINTE-GERTRUDE,067-21 12 60,BRABANT WALLON,49,,39,642,Type 1 deuxième degré troisième général transition,"1,73316666794967E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1400 - NIVELLES - NIVELLES,182066,1 D2 3 G,182066
1 D2 3 G,2014-09-01,Rue de Sotriamont 1 ,644,1 D2 G,9999-12-31,INSTITUT DE L'ENFANT-JESUS LYCEE,067-89 38 00,BRABANT WALLON,49,,39,644,Type 1 deuxième degré troisième général transition,"1,73316666795282E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1400 - NIVELLES - NIVELLES,182095,1 D2 3 G,182095
1 D2 3 P,2014-09-01,Rue Ferdinand Delcroix 33 ,645,1 D2 P,9999-12-31,INSTITUT PROVINCIAL DES ARTS ET METIERS,067-79 48 79,BRABANT WALLON,50,,42,645,Type 1 deuxième degré troisième professionnel qualification,"1,73316666795491E+018",MECANIQUE POLYVALENTE,Subventionné provincial,1400 - NIVELLES - NIVELLES,181945,1 D2 3 P,181945
1 D2 3 G,2014-09-01,Rue Saint-Jean 2 ,647,1 D2 G,9999-12-31,INSTITUT DU SACRE-COEUR,067-21 95 71,BRABANT WALLON,49,,39,647,Type 1 deuxième degré troisième général transition,"1,7331666679612E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1400 - NIVELLES - NIVELLES,181983,1 D2 3 G,181983
1 D2 3 P,2014-09-01,Rue du Paradis 79A ,648,1 D2 P,9999-12-31,INSTITUT PROVINCIAL D'ENSEIGNEMENT TECHNIQUE,067-21 61 66,BRABANT WALLON,50,,42,648,Type 1 deuxième degré troisième professionnel qualification,"1,7331666679654E+018",SERVICES SOCIAUX,Subventionné provincial,1400 - NIVELLES - NIVELLES,182026,1 D2 3 P,182026
1 D2 3 G,2014-09-01,Rue Albert Croy 3 ,667,1 D2 G,9999-12-31,ATHENEE ROYAL RIXENSART WAVRE,02-634 04 72,BRABANT WALLON,49,,39,667,Type 1 deuxième degré troisième général transition,"1,73316666797379E+018",LANGUE MODERNE II ANGLAIS,WBE,1330 - RIXENSART - RIXENSART,1078,1 D2 3 G,1078
1 D2 3 P,2014-09-01,Rue du Couvent 2 ,668,1 D2 P,9999-12-31,COLLEGE NOTRE-DAME DES TROIS VALLEES,02-654 07 82,BRABANT WALLON,50,,42,668,Type 1 deuxième degré troisième professionnel qualification,"1,73316666798008E+018",ARTS APPLIQUES,Libre confessionnel,1332 - RIXENSART - GENVAL,181825,1 D2 3 P,181825
1 D2 3 G,2014-09-01,Chaussée de Mons 241-243 ,679,1 D2 G,9999-12-31,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE,02-355 66 87,BRABANT WALLON,49,,39,679,Type 1 deuxième degré troisième général transition,"1,73316666798218E+018",LANGUE MODERNE I ANGLAIS,Subventionné provincial,1480 - TUBIZE - TUBIZE,182214,1 D2 3 G,182214
1 D2 3 P,2014-09-01,Rue de Mons 74 ,680,1 D2 P,9999-12-31,COLLEGE SAINT-FRANCOIS D'ASSISE,02-355 83 77,BRABANT WALLON,50,,42,680,Type 1 deuxième degré troisième professionnel qualification,"1,73316666798952E+018",ELECTRICITE,Libre confessionnel,1480 - TUBIZE - TUBIZE,182173,1 D2 3 P,182173
1 D2 3 G,2014-09-01,Rue de la Station 118 ,692,1 D2 G,9999-12-31,ATHENEE ROYAL DE WATERLOO,02-354 92 76,BRABANT WALLON,49,,39,692,Type 1 deuxième degré troisième général transition,"1,73316666799476E+018",LANGUE MODERNE II ANGLAIS,WBE,1410 - WATERLOO - WATERLOO,2959,1 D2 3 G,2959
1 D2 3 G,2014-09-01,Drève d'Argenteuil 10C ,693,1 D2 G,9999-12-31,LYCEE DE BERLAYMONT,02-357 09 83,BRABANT WALLON,49,,39,693,Type 1 deuxième degré troisième général transition,"1,73316666799686E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1410 - WATERLOO - WATERLOO,182310,1 D2 3 G,182310
1 D2 3 G,2014-09-01,Place Albert Ier  ,694,1 D2 G,9999-12-31,Institut d'enseignement secondaire des Sacrés-Coeurs,02-354 01 86,BRABANT WALLON,49,,39,694,Type 1 deuxième degré troisième général transition,"1,733166668E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1410 - WATERLOO - WATERLOO,182269,1 D2 3 G,182269
1 D2 3 G,2015-09-01,Rue du Calvaire 4 ,707,1 D2 G,9999-12-31,Collège Notre-Dame,010-23 83 00,BRABANT WALLON,49,,39,707,Type 1 deuxième degré troisième général transition,"1,73316666800524E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1300 - WAVRE - WAVRE,182440,1 D2 3 G,182440
1 D2 3 G,2014-09-01,Rue de Bruxelles 45 ,708,1 D2 G,9999-12-31,INSTITUT SAINT-JEAN-BAPTISTE,010-22 24 60,BRABANT WALLON,49,,39,708,Type 1 deuxième degré troisième général transition,"1,73316666800734E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1300 - WAVRE - WAVRE,182459,1 D2 3 G,182459
1 D2 3 G,2014-09-01,Rue de Wavre 60 ,710,1 D2 G,9999-12-31,"ECOLE INTERNATIONALE ""LE VERSEAU"" - E.L.C.E.",010-23 17 27,BRABANT WALLON,49,,39,710,Type 1 deuxième degré troisième général transition,"1,73316666801888E+018",LANGUE MODERNE I ANGLAIS,Libre non confessionnel,1301 - WAVRE - BIERGES,182521,1 D2 3 G,182521
1 D2 3 P,2014-09-01,Rue du Pont Saint-Jean 48 ,712,1 D2 P,9999-12-31,COLLEGE TECHNIQUE SAINT-JEAN,010-22 28 29,BRABANT WALLON,50,,42,712,Type 1 deuxième degré troisième professionnel qualification,"1,73316666802202E+018",MECANIQUE POLYVALENTE,Libre confessionnel,1300 - WAVRE - WAVRE,182334,1 D2 3 P,182334
1 D2 3 G,2014-09-01,Rue Hazinelle 2 B353,747,1 D2 G,9999-12-31,ATHENEE ROYAL PAUL DELVAUX,010-42 04 20,LIEGE,49,,39,747,Type 1 deuxième degré troisième général transition,"1,73316666803146E+018",LANGUE MODERNE II ANGLAIS,WBE,4000 - LIEGE - ANS,2938,1 D2 3 G,2938
1 D2 3 G,2014-09-01,Rue de Renivaux 25 ,748,1 D2 G,9999-12-31,COLLEGE DU CHRIST-ROI,010-42 04 70,BRABANT WALLON,49,,39,748,Type 1 deuxième degré troisième général transition,"1,73316666803356E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,182118,1 D2 3 G,182118
1 D2 3 G,2014-09-01,Rue du Collège 3 ,749,1 D2 G,9999-12-31,LYCEE MARTIN V,010-83 41 00,BRABANT WALLON,49,,39,749,Type 1 deuxième degré troisième général transition,"1,7331666680367E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,1348 - OTTIGNIES-LOUVAIN-LA-NEUVE - LOUVAIN-LA-NEUVE,182135,1 D2 3 G,182135
1 D2 3 G,2014-09-01,Rue des Récollets 9 ,778,1 D2 G,9999-12-31,ATHENEE ROYAL ATH,068-26 90 00,HAINAUT,49,,39,778,Type 1 deuxième degré troisième général transition,"1,73316666804299E+018",LANGUE MODERNE II ANGLAIS,WBE,7800 - ATH - ATH,1501,1 D2 3 G,1501
1 D2 3 P,2014-09-01,AVENUE LOUIS PIERARD 36 B010,779,1 D2 P,9999-12-31,INSTITUT TECHNIQUE LIBRE,068-26 88 80,BRUXELLES-CAPITALE,50,,42,779,Type 1 deuxième degré troisième professionnel qualification,"1,73316666804509E+018",ELECTRICITE,Libre confessionnel,1140 - EVERE - EVERE,182542,1 D2 3 P,182542
1 D2 3 P,2014-09-01,Rue Paul Pastur 11 ,780,1 D2 P,9999-12-31,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE,068-26 46 50,HAINAUT,50,,42,780,Type 1 deuxième degré troisième professionnel qualification,"1,73316666805138E+018",CUISINE ET SALLE,Subventionné provincial,7800 - ATH - ATH,182615,1 D2 3 P,182615
1 D2 3 P,2014-09-01,Rue de l'Industrie 6 ,782,1 D2 P,9999-12-31,INSTITUT SAINT-FRANCOIS DE SALES,068-26 51 20,HAINAUT,50,,42,782,Type 1 deuxième degré troisième professionnel qualification,"1,73316666805977E+018",VENTE,Libre confessionnel,7800 - ATH - ATH,182582,1 D2 3 P,182582
1 D2 3 G,2014-09-01,Rue de la Station 17 ,783,1 D2 G,9999-12-31,COLLEGE SAINT-JULIEN,068-28 50 20,HAINAUT,49,,39,783,Type 1 deuxième degré troisième général transition,"1,73316666806292E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,7800 - ATH - ATH,182657,1 D2 3 G,182657
1 D2 3 G,2014-09-01,Chemin du Carnois 32 A ,827,1 D2 G,9999-12-31,ATHENEE ROYAL LUCIENNE TELLIER,069-87 18 20,HAINAUT,49,,39,827,Type 1 deuxième degré troisième général transition,"1,73316666806711E+018",LANGUE MODERNE II ANGLAIS,WBE,7910 - FRASNES-LEZ-ANVAING - ANVAING,2981,1 D2 3 G,2981
1 D2 3 G,2014-09-01,Rue Emile Tumelaire 12 ,908,1 D2 G,9999-12-31,ATHENEE ROYAL VAUBAN,071-32 07 02,HAINAUT,49,,39,908,Type 1 deuxième degré troisième général transition,"1,73316666807131E+018",LANGUE MODERNE II ANGLAIS,WBE,6000 - CHARLEROI - CHARLEROI,355,1 D2 3 G,355
1 D2 3 G,2014-09-01,Boulevard Emile Devreux 27 ,909,1 D2 G,9999-12-31,ATHENEE ROYAL ERNEST SOLVAY,071-20 27 00,HAINAUT,49,,39,909,Type 1 deuxième degré troisième général transition,"1,73316666807655E+018",LANGUE MODERNE II ALLEMAND,WBE,6000 - CHARLEROI - CHARLEROI,1312,1 D2 3 G,1312
1 D2 3 G,2014-09-01,Boulevard de l'Yser 12 ,910,1 D2 G,9999-12-31,INSTITUT SAINT-JOSEPH,071-20 72 72,HAINAUT,49,,39,910,Type 1 deuxième degré troisième général transition,"1,73316666808179E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6000 - CHARLEROI - CHARLEROI,183064,1 D2 3 G,183064
1 D2 3 G,2014-09-01,Boulevard Audent 58 ,911,1 D2 G,9999-12-31,CENTRE SCOLAIRE DU SACRE-COEUR,071-23 10 68,HAINAUT,49,,39,911,Type 1 deuxième degré troisième général transition,"1,73316666808599E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6000 - CHARLEROI - CHARLEROI,183113,1 D2 3 G,183113
1 D2 3 G,2014-09-01,Rue de Marcinelle 41 ,912,1 D2 G,9999-12-31,INSTITUT NOTRE-DAME,071-20 71 20,HAINAUT,49,,39,912,Type 1 deuxième degré troisième général transition,"1,73316666809018E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6000 - CHARLEROI - CHARLEROI,183138,1 D2 3 G,183138
1 D2 3 P,2014-09-01,RUE MONT COUPE 28 ,920,1 D2 P,9999-12-31,INSTITUT D'ENSEIGNEMENT TECHNIQUE NOTRE-DAME,071-30 23 30,HAINAUT,50,,42,920,Type 1 deuxième degré troisième professionnel qualification,"1,73316666809437E+018",ARTS APPLIQUES,Libre confessionnel,7070 - LE ROEULX - LE ROEULX,182989,1 D2 3 P,182989
1 D2 3 G,2014-09-01,Rue du Parc 6 ,921,1 D2 G,9999-12-31,INSTITUT SAINT-ANDRE,071-20 72 20,HAINAUT,49,,39,921,Type 1 deuxième degré troisième général transition,"1,73316666809857E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6000 - CHARLEROI - CHARLEROI,183024,1 D2 3 G,183024
1 D2 3 P,2014-09-01,Boulevard Gustave Roullier 1 ,923,1 D2 P,9999-12-31,Université du Travail - Institut d'enseignement technique secondaire,071-53 17 53,HAINAUT,50,,42,923,Type 1 deuxième degré troisième professionnel qualification,"1,73316666810591E+018",MECANIQUE GARAGE,Subventionné provincial,6000 - CHARLEROI - CHARLEROI,183173,1 D2 3 P,183173
1 D2 3 G,2014-09-01,Rue de la Broucheterre 52B ,926,1 D2 G,9999-12-31,Université du Travail - Institut Jean Jaurès,071-53 17 54,HAINAUT,49,,39,926,Type 1 deuxième degré troisième général transition,"1,7331666681143E+018",LANGUE MODERNE I ANGLAIS,Subventionné provincial,6000 - CHARLEROI - CHARLEROI,183224,1 D2 3 G,183224
1 D2 3 G,2014-09-01,Rue de la Providence 12 ,932,1 D2 G,9999-12-31,ATHENEE ROYAL LES MARLAIRES,071-25 87 70,HAINAUT,49,,39,932,Type 1 deuxième degré troisième général transition,"1,73316666811954E+018",LANGUE MODERNE II ANGLAIS,WBE,6041 - CHARLEROI - GOSSELIES,3102,1 D2 3 G,3102
1 D2 3 G,2014-09-01,Faubourg de Bruxelles 105 ,933,1 D2 G,9999-12-31,Institut de la Providence Humanités,071-34 93 10,HAINAUT,49,,39,933,Type 1 deuxième degré troisième général transition,"1,73316666812373E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6041 - CHARLEROI - GOSSELIES,182811,1 D2 3 G,182811
1 D2 3 G,2014-09-01,Faubourg de Charleroi 15 ,934,1 D2 G,9999-12-31,Collège Saint-Michel,071-35 36 74,HAINAUT,49,,39,934,Type 1 deuxième degré troisième général transition,"1,73316666812898E+018",LANGUE MODERNE I ANGLAIS,Libre confessionnel,6041 - CHARLEROI - GOSSELIES,182851,1 D2 3 G,182851
1 D2 3 P,2014-09-01,Rue Circulaire 5 ,936,1 D2 P,9999-12-31,Institut Sainte-Anne,071-25 82 20,HAINAUT,50,,42,936,Type 1 deuxième degré troisième professionnel qualification,"1,73316666813212E+018",CUISINE ET SALLE,Libre confessionnel,6041 - CHARLEROI - GOSSELIES,182758,1 D2 3 P,182758
