RESEAU,NUMERO_FASE_PO,NOM_PO,ADRS_PO,CP_LOC_COM_PO,NUMERO_FASE_ETAB,NOM_ETAB,ADRS_ETAB,CP_LOC_COM_ETAB,PROV_ETAB,CARACTERE,CONFESSION,QUALITE_DIRECTEUR_ETAB,NOM_DIRECTEUR_ETAB,PRENOM_DIRECTEUR_ETAB,NUMERO_FASE_IMPL,DT_DEBUT,DT_FIN,NOM_IMPL,ADRS_IMPL,CP_LOC_COM_IMPL,UNITE,NUMERO_FASE_IMPL_ETAB
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,468,2004-08-30,,468,Rue L'Olivier 82 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire CEFA                                             ,468-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,6649,2004-08-30,,6649,Rue de la Poste 262 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire CEFA                                             ,6649-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,7325,2004-08-30,,7325,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,Secondaire CEFA                                             ,7325-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,7326,2007-01-01,,7326,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,Secondaire CEFA                                             ,7326-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,8994,2005-02-03,,8994,Avenue du Val d'Or 90 D ,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,Secondaire CEFA                                             ,8994-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,10192,2013-09-01,,10192,RUE JULES DEBECKER 71 ,1081 - KOEKELBERG - KOEKELBERG,Secondaire CEFA                                             ,10192-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,10193,2013-09-01,,10193,Avenue du Sippelberg 10 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,Secondaire CEFA                                             ,10193-5429
Libre confessionnel                                         ,193,Centre scolaire Eperonniers-Mercelis,Rue de l'Etuve 56 ,1000 - BRUXELLES - BRUXELLES,5429,CEFA - CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                               ,Rue Mercelis 36-38 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Dumortier                     ,Natacha                       ,10364,2015-09-01,,10364,RUE DE LA VICTOIRE 22 A,7070 - LE ROEULX - LE ROEULX,Secondaire CEFA                                             ,10364-5429
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,6204,2008-09-01,2016-08-31,6204,Place de l'Hôtel de Ville 22 E,5620 - FLORENNES - FLORENNES,Secondaire CEFA                                             ,6204-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,6980,2004-09-01,,6980,Rue Piconette 1 ,5590 - CINEY - CINEY,Secondaire CEFA                                             ,6980-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,6981,2007-01-01,,6981,Rue Saint-Hubert 14 16 ,5590 - CINEY - CINEY,Secondaire CEFA                                             ,6981-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,7823,2004-09-01,2016-08-31,7823,Rue des Ecoles 17 ,5620 - FLORENNES - FLORENNES,Secondaire CEFA                                             ,7823-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,7824,2004-09-01,,7824,Rue de Givet 21 ,5570 - BEAURAING - BEAURAING,Secondaire CEFA                                             ,7824-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,9005,2004-09-01,,9005,Rue Cardinal Mercier 29 ,5500 - DINANT - BOUVIGNES-SUR-MEUSE,Secondaire CEFA                                             ,9005-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,10368,2015-09-01,2016-08-31,10368,Rue des Ecoles 8 ,5620 - FLORENNES - FLORENNES,Secondaire CEFA                                             ,10368-5446
Libre confessionnel                                         ,875,Communauté scolaire libre Georges Cousot,Place Albert Ier 11 ,5500 - DINANT - DINANT,5446,CEFA - COLLEGE NOTRE-DAME,Rue de Bonsecours 2 ,5500 - DINANT - DINANT,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Bouillon                      ,Koen                          ,10369,2015-09-01,2016-08-31,10369,Rue des Ecoles 19 ,5620 - FLORENNES - FLORENNES,Secondaire CEFA                                             ,10369-5446
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,6467,2004-08-30,,6467,Rue de la Baume 166 B ,4100 - SERAING - SERAING,Secondaire CEFA                                             ,6467-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,7444,2004-08-30,,7444,Rue de la carrière 20 b,4100 - SERAING - SERAING,Secondaire CEFA                                             ,7444-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,7504,2004-08-30,,7504,Rue de la Croix Rouge 12 ,4600 - VISE - VISE,Secondaire CEFA                                             ,7504-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,9003,2004-08-30,,9003,Rue Cockerill 148 ,4100 - SERAING - SERAING,Secondaire CEFA                                             ,9003-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,9798,2010-09-01,,9798,Avenue des Martyrs 246 ,4620 - FLERON - FLERON,Secondaire CEFA                                             ,9798-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,9800,2010-09-01,,9800,Rue Saint-Laurent 37 ,4620 - FLERON - FLERON,Secondaire CEFA                                             ,9800-5441
Libre confessionnel                                         ,1651,ASBL Enseignement secondaire libre catholique de Seraing,Rue Cockerill 144 ,4100 - SERAING - SERAING,5441,CEFA - COLLEGE SAINT-MARTIN - I.S.M. PAIRAY,Rue de la Province 101 ,4100 - SERAING - SERAING,LIEGE                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Warnier                       ,Jean-Marie                    ,10196,2013-09-01,,10196,Rue Elisa Dumonceau 75 ,4040 - HERSTAL - HERSTAL,Secondaire CEFA                                             ,10196-5441
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,2676,2004-08-27,,2676,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,Secondaire CEFA                                             ,2676-5420
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,6988,2005-07-08,,6988,Rue du Commerce 21 ,7780 - COMINES-WARNETON - COMINES-WARNETON,Secondaire CEFA                                             ,6988-5420
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,6989,2004-08-30,,6989,Rue de l'Eglise 6 ,7783 - COMINES-WARNETON - BIZET,Secondaire CEFA                                             ,6989-5420
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,7554,2008-09-01,,7554,Rue Montgomery 71 ,7540 - TOURNAI - KAIN,Secondaire CEFA                                             ,7554-5420
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,10201,2013-09-01,,10201,Rue de la Sideho 1B ,7780 - COMINES-WARNETON - COMINES,Secondaire CEFA                                             ,10201-5420
Libre confessionnel                                         ,246,Collège technique Saint-Henri,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,5420,CEFA - COLLEGE TECHNIQUE SAINT-HENRI                                                                                                                                                                                                                      ,Avenue Royale 50 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,BONTE                         ,ALAIN                         ,10371,2015-09-01,,10371,RUE DE LA REMBECQ 1 ,7830 - SILLY - SILLY,Secondaire CEFA                                             ,10371-5420
Libre confessionnel                                         ,247,Pouvoir organisateur du Collège technique Saint-Jean,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,5431,CEFA - COLLEGE TECHNIQUE SAINT-JEAN,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Antoine                       ,Thierry                       ,1263,2004-08-30,,1263,Rue Belotte 7 ,1490 - COURT-SAINT-ETIENNE - COURT-SAINT-ETIENNE,Secondaire CEFA                                             ,1263-5431
Libre confessionnel                                         ,247,Pouvoir organisateur du Collège technique Saint-Jean,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,5431,CEFA - COLLEGE TECHNIQUE SAINT-JEAN,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Antoine                       ,Thierry                       ,1264,2016-09-01,,1264,Rue de Nivelles 52 ,1300 - WAVRE - WAVRE,Secondaire CEFA                                             ,1264-5431
Libre confessionnel                                         ,247,Pouvoir organisateur du Collège technique Saint-Jean,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,5431,CEFA - COLLEGE TECHNIQUE SAINT-JEAN,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Antoine                       ,Thierry                       ,8221,2006-09-01,,8221,Faubourg de Mons 1 ,1400 - NIVELLES - NIVELLES,Secondaire CEFA                                             ,8221-5431
Libre confessionnel                                         ,247,Pouvoir organisateur du Collège technique Saint-Jean,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,5431,CEFA - COLLEGE TECHNIQUE SAINT-JEAN,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Antoine                       ,Thierry                       ,10475,2017-09-01,,10475,Rue de la Vallée Bailly 102 ,1420 - BRAINE-L'ALLEUD - BRAINE-L'ALLEUD,Secondaire CEFA                                             ,10475-5431
Libre confessionnel                                         ,247,Pouvoir organisateur du Collège technique Saint-Jean,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,5431,CEFA - COLLEGE TECHNIQUE SAINT-JEAN,Rue du Pont Saint-Jean 48 ,1300 - WAVRE - WAVRE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Antoine                       ,Thierry                       ,9796,2010-09-01,,x,Rue Saint-Jean 2 ,1400 - NIVELLES - NIVELLES,Secondaire CEFA                                             ,9796-5431
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,5457,"CEFA - DINANT ""L'ATOUT""",Rue de Londres 15 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Simons                        ,Jean-François                 ,6701,2004-09-01,,6701,Rue de Londres 15 ,1050 - IXELLES - IXELLES,Secondaire CEFA                                             ,6701-5457
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,5457,"CEFA - DINANT ""L'ATOUT""",Rue de Londres 15 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Simons                        ,Jean-François                 ,8352,2007-01-01,,8352,Rue de Dinant 23 ,5570 - BEAURAING - BEAURAING,Secondaire CEFA                                             ,8352-5457
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,5457,"CEFA - DINANT ""L'ATOUT""",Rue de Londres 15 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Simons                        ,Jean-François                 ,8355,2006-09-01,2017-08-31,8355,Square Omer Bertrand 1 ,5590 - CINEY - CINEY,Secondaire CEFA                                             ,8355-5457
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,5457,"CEFA - DINANT ""L'ATOUT""",Rue de Londres 15 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Simons                        ,Jean-François                 ,8355,2017-09-01,,8355,Square Omer Bertrand 1 ,5590 - CINEY - CINEY,Secondaire CEFA                                             ,8355-5457
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,5457,"CEFA - DINANT ""L'ATOUT""",Rue de Londres 15 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Simons                        ,Jean-François                 ,10292,2014-09-01,,10292,Domaine de Harzir  ,5580 - ROCHEFORT - JEMELLE,Secondaire CEFA                                             ,10292-5457
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5423,CEFA - ECOLE POLYTECHNIQUE DE HERSTAL -  ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                             ,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,DELOURS                       ,CHRISTIANE                    ,3768,2004-08-27,,3768,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,Secondaire CEFA                                             ,3768-5423
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5422,CEFA - ECOLE POLYTECHNIQUE DE HUY-ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                                    ,Rue Saint-Pierre 48 ,4500 - HUY - HUY,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Berzolla                      ,Michaël                       ,3540,2004-08-27,,3540,Rue Saint-Pierre 48 ,4500 - HUY - HUY,Secondaire CEFA                                             ,3540-5422
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5425,CEFA - ECOLE POLYTECHNIQUE DE SERAING - ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                              ,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Tedesco                       ,Carmela                       ,4260,2004-08-30,,4260,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,Secondaire CEFA                                             ,4260-5425
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5425,CEFA - ECOLE POLYTECHNIQUE DE SERAING - ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                              ,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Tedesco                       ,Carmela                       ,8259,2007-01-01,,8259,Grand'Route 317 ,4400 - FLEMALLE - FLEMALLE,Secondaire CEFA                                             ,8259-5425
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5426,CEFA - ECOLE POLYTECHNIQUE DE VERVIERS - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue aux Laines 69 ,4800 - VERVIERS - VERVIERS,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Vanoirbeck                    ,Dominique                     ,4684,2004-08-30,,4684,Rue aux Laines 69 ,4800 - VERVIERS - VERVIERS,Secondaire CEFA                                             ,4684-5426
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5426,CEFA - ECOLE POLYTECHNIQUE DE VERVIERS - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue aux Laines 69 ,4800 - VERVIERS - VERVIERS,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Vanoirbeck                    ,Dominique                     ,8308,2007-01-01,,8308,Rue de Mangombroux 153 ,4800 - VERVIERS - VERVIERS,Secondaire CEFA                                             ,8308-5426
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5426,CEFA - ECOLE POLYTECHNIQUE DE VERVIERS - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue aux Laines 69 ,4800 - VERVIERS - VERVIERS,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Vanoirbeck                    ,Dominique                     ,8309,2007-01-01,,8309,Rue Peltzer de Clermont 104 ,4800 - VERVIERS - VERVIERS,Secondaire CEFA                                             ,8309-5426
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,5426,CEFA - ECOLE POLYTECHNIQUE DE VERVIERS - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue aux Laines 69 ,4800 - VERVIERS - VERVIERS,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Vanoirbeck                    ,Dominique                     ,10468,2017-09-01,,10468,RUE DU CANADA 157 ,4910 - THEUX - LA REID,Secondaire CEFA                                             ,10468-5426
Libre confessionnel                                         ,641,"Ecole professionnelle, pouvoir organisateur",Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,5447,CEFA - ECOLE PROFESSIONNELLE,Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,ALBERT                        ,JEAN-PIERRE                   ,5747,2004-09-01,,5747,Avenue Roi Albert 136 ,5300 - ANDENNE - ANDENNE,Secondaire CEFA                                             ,5747-5447
Libre confessionnel                                         ,641,"Ecole professionnelle, pouvoir organisateur",Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,5447,CEFA - ECOLE PROFESSIONNELLE,Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,ALBERT                        ,JEAN-PIERRE                   ,5911,2004-09-01,,5911,Rue Asty-Moulin 19 ,5000 - NAMUR - NAMUR,Secondaire CEFA                                             ,5911-5447
Libre confessionnel                                         ,641,"Ecole professionnelle, pouvoir organisateur",Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,5447,CEFA - ECOLE PROFESSIONNELLE,Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,ALBERT                        ,JEAN-PIERRE                   ,10020,2011-09-01,,10020,Rue Mazy 20 ,5100 - NAMUR - JAMBES,Secondaire CEFA                                             ,10020-5447
Libre confessionnel                                         ,641,"Ecole professionnelle, pouvoir organisateur",Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,5447,CEFA - ECOLE PROFESSIONNELLE,Rue Florent Dethier 31 ,5002 - NAMUR - SAINT-SERVAIS,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,ALBERT                        ,JEAN-PIERRE                   ,10482,2017-09-01,,10482,RUE ASTY MOULIN 60 ,5000 - NAMUR - NAMUR,Secondaire CEFA                                             ,10482-5447
